date,population,admission,release
2023-06-18,126269.89311884642,1059.4363808437402,1078.3012565688098
2023-06-19,126251.02824312131,1059.4363808437402,1078.3012565688098
2023-06-20,126232.16336739622,1059.4363808437402,1078.3012565688098
2023-06-21,126213.29849167117,1059.4363808437402,1078.3012565688098
2023-06-22,126194.43361594611,1059.4363808437402,1078.3012565688098
2023-06-23,126175.56874022105,1059.4363808437402,1078.3012565688098
2023-06-24,126156.70386449597,1059.4363808437402,1078.3012565688098
2023-06-25,126137.83898877089,1059.4363808437402,1078.3012565688098
2023-06-26,126118.97411304584,1059.4363808437402,1078.3012565688098
2023-06-27,126100.10923732078,1059.4363808437402,1078.3012565688098
2023-06-28,126081.24436159572,1059.4363808437402,1078.3012565688098
2023-06-29,126062.37948587062,1059.4363808437402,1078.3012565688098
2023-06-30,126504.51461014555,1068.1798428939276,1554.0441456044985
2023-07-01,127256.74466551426,2306.274200973217,1267.0441456044985
2023-07-02,128053.974720883,2064.2742009732174,1215.0441456044985
2023-07-03,128565.2047762517,1726.2742009732176,2645.0441456044996
2023-07-04,128183.43483162046,2263.274200973217,1018.0441456044986
2023-07-05,129024.66488698912,1857.3694390684557,2935.1323147453004
2023-07-06,128578.66171398782,2518.8214494362546,2728.0052947065155
2023-07-07,128463.17954938981,2618.002121705162,2555.8176196364875
2023-07-08,128654.53071812516,2746.8354550384956,1155.4842863031533
2023-07-09,129340.8818868605,1841.8354550384963,1163.4842863031533
2023-07-10,130096.73305559586,1657.0159801164368,3415.7740352349774
2023-07-11,129581.28827244052,2900.329252079625,3022.6122308385875
2023-07-12,129421.26438671941,2865.571491184977,3111.0953769060034
2023-07-13,129203.2405009984,2893.071491184977,3363.837426375968
2023-07-14,128987.98339972971,3148.5803251072384,3054.9719408116634
2023-07-15,128997.77419872346,3064.762739805401,1332.971940811664
2023-07-16,129647.56499771716,1982.762739805401,1412.471940811664
2023-07-17,130078.35579671091,1843.262739805401,3095.3052741449965
2023-07-18,129665.97992903797,2682.9294064720675,3131.3052741449974
2023-07-19,129403.35406136505,2868.6794064720675,3191.6386074783304
2023-07-20,129164.22819369212,2953.1794064720675,3294.9719408116634
2023-07-21,128787.76899268584,2918.5127398054005,2953.8052741449974
2023-07-22,128864.64312501294,3030.0127398054,1242.3052741449974
2023-07-23,129857.51725734002,2227.714059937414,1450.3052741449974
2023-07-24,130229.39138966707,1821.1851207577815,3422.0276300347214
2023-07-25,129562.75301572846,2753.905922762794,3130.4442967013874
2023-07-26,129582.85353067877,3091.1344401527967,3289.7625659742025
2023-07-27,129275.20396221807,2981.1151573407587,3362.2416876444686
2023-07-28,128937.11486891944,3001.69665564848,2890.9916876444686
2023-07-29,129083.62060320699,3038.997421932005,1270.4916876444695
2023-07-30,129996.95967082781,2183.8307552653387,1355.9916876444695
2023-07-31,130414.2987384487,1762.4529774875612,3377.5567670095484
2023-08-01,129738.7124092442,2654.7058280984766,3294.987727185185
2023-08-02,129699.07227271347,3053.638377609555,3277.7771964853146
2023-08-03,129577.41777925634,3074.9583451234744,3385.1457508875283
2023-08-04,129519.8438502124,3327.5718218435672,3102.6790842208616
2023-08-05,129528.59214339065,3211.160710732456,1374.4124175541951
2023-08-06,130533.34043656893,2379.1607107324558,1445.4924175541953
2023-08-07,131100.6287297472,1983.867964450012,3698.8194593904873
2023-08-08,130439.07230163373,3035.048745562744,3371.4386593904874
2023-08-09,130212.67827352026,3137.064987511126,3420.448474003356
2023-08-10,129862.25280229525,3070.0230027783014,3515.448474003356
2023-08-11,129657.82733107018,3311.0230027783014,3258.948474003356
2023-08-12,129751.90185984508,3353.0230027783014,1540.9484740033556
2023-08-13,130524.97638862007,2314.023002778302,1428.9484740033556
2023-08-14,131075.050917395,1979.0230027783018,3710.948474003356
2023-08-15,130249.62544616994,2885.5230027783014,3478.2818073366893
2023-08-16,129897.19997494489,3125.356336111635,3680.5675216224035
2023-08-17,129499.4173608627,3282.7849075402064,3292.3175216224035
2023-08-18,129445.63474678049,3238.5349075402064,3353.23418828907
2023-08-19,129571.60213269832,3480.701574206873,1466.0675216224035
2023-08-20,130493.80285194944,2388.56824087354,1544.3675216224035
2023-08-21,130866.00357120058,1915.571563132676,3750.698003349978
2023-08-22,130180.3043735082,3064.998805657593,3470.948003349978
2023-08-23,129819.35517581581,3109.998805657593,3416.948003349978
2023-08-24,129601.40597812344,3198.998805657593,3094.4082074316107
2023-08-25,129663.70678043104,3209.3988056575927,3560.348003349978
2023-08-26,129788.00758273865,3684.6488056575927,1381.3480033499782
2023-08-27,130707.80838504627,2301.1488056575927,1459.3480033499782
2023-08-28,131229.60918735387,1981.148805657593,3826.348003349978
2023-08-29,130442.90998966151,3039.6488056575927,3372.3480033499777
2023-08-30,130321.2107919691,3249.3154723242596,3264.3599081118828
2023-08-31,130111.33302284815,3056.3273770861642,3374.2496291282455
2023-09-01,129992.17832076854,3256.076059124109,3320.230761203717
2023-09-02,129910.02361868895,3238.076059124109,1424.2307612037175
2023-09-03,130780.86891660934,2295.0760591241096,1487.2307612037175
2023-09-04,131390.71421452973,2097.0760591241096,1342.2307612037175
2023-09-05,132089.55951245013,2041.0760591241096,4105.330761203717
2023-09-06,131131.70481037052,3147.9760591241093,3776.3307612037174
2023-09-07,130624.85010829092,3269.4760591241093,3469.2421831151396
2023-09-08,130274.99024470613,3119.8823195303703,3156.9088497818057
2023-09-09,130388.79704778803,3270.7156528637033,1334.4088497818059
2023-09-10,131313.60385086993,2259.2156528637033,1488.408849781806
